country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Kuwait,Middle East & North Africa,High income,MOE Channel,youtube.com,youtube.com/channel/UCHoaEgy2FxODwhAv96GuMFA,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,yes,no,no,no,Arabic,yes,True,True,False,
Kuwait,Middle East & North Africa,High income,Seraj,seraj.org.kw,https://seraj.org.kw/Seraj/Default.aspx,,resource hub,,national,1,Tier 1,students,yes,yes,no,yes,no,yes,yes,no,Arabic,yes,True,True,False,"For an FLN example, see this."
Kuwait,Middle East & North Africa,High income,Seraj (mobile app),,,https://play.google.com/store/apps/details?id=org.redsoft.seraj&hl=en,unknown,,unknown,1,Tier 1,students,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,
Kyrgyz Republic,Europe & Central Asia,Lower middle income,IBILIM.KG,ibilim.kg,https://ibilim.kg/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,yes,no,Russian,no,True,True,False,- FLN content can be found by scrolling to the bottom of this page 
Kyrgyz Republic,Europe & Central Asia,Lower middle income,Kitep,kitep.edu.gov.kg,https://kitep.edu.gov.kg/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,no,no,"Russian, Kyrgyz",yes,True,True,False,
Kyrgyz Republic,Europe & Central Asia,Lower middle income,Bilimduu Muun- Learning Passport ,kyrgyzstan.learningpassport.unicef.org,https://kyrgyzstan.learningpassport.unicef.org/,unknown,LMS,Learning Passport,other,3,Other,students and teachers,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,True,True,False,- in collaboration with UNICEF and Microsoft
Kyrgyz Republic,Europe & Central Asia,Lower middle income,Open Library - “Ачык китепкана” ,lib.kg,http://lib.kg/ru/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,yes,no,"Russian, Kyrgyz",yes,True,True,False,- FLN content example here 
Lao PDR,East Asia & Pacific,Lower middle income,Khang Panya Lao (web),laos.learningpassport.unicef.org,https://laos.learningpassport.unicef.org/,,LMS,Learning Passport,other,3,Other,students and teachers,no,no,yes,yes,yes,yes,yes,no,Lao and English,yes,True,True,False,a phone number signup is required to access the content
Lao PDR,East Asia & Pacific,Lower middle income,Khang Panya Lao (mobile app),,,https://play.google.com/store/apps/details?id=com.lplaos.lplaos&hl=en_US&gl=US,unknown,,unknown,1,Tier 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Lao and English,unknown,False,False,False,the app could not be found in the google play store or downloaded
Lebanon,Middle East & North Africa,Upper middle income,Tele Liban E-learning,youtube.com,https://www.youtube.com/playlist?list=PL_aiKCsGozdN2CCcOt22yOdfk1ZKOf7wW,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,no,no,no,no,Arabic,yes,True,True,False,
